% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
50,30000,-108.61933723652609
50,50000,-105.3661110980078
50,70000,-105.95496732749831
51,10000,-101.87463115391255
51,30000,-108.75052659138885
51,50000,-105.6070667355266
51,70000,-106.20152403234464
52,10000,-101.89558475701315
52,30000,-108.88045857705575
52,50000,-105.85035389501306
52,70000,-106.44657623408949
53,10000,-101.9169296435801
53,30000,-109.00872844057803
53,50000,-106.09584599085338
53,70000,-106.68972214963738
54,10000,-101.938641096629
54,30000,-109.13494093249352
54,50000,-106.3434216899929
54,70000,-106.93050555429978
55,10000,-101.96069393130281
55,30000,-109.25871389872344
55,50000,-106.59296154550589
55,70000,-107.16842551878347
56,10000,-101.98306251942336
56,30000,-109.37968192005934
56,50000,-106.84434434165466
56,70000,-107.40294962532259
57.00000000000001,10000,-102.00572081468644
57.00000000000001,30000,-109.49749991602704
57.00000000000001,50000,-107.09744321076221
57.00000000000001,70000,-107.63352996267436
58.00000000000001,10000,-102.02864237851357
58.00000000000001,30000,-109.6118466228447
58.00000000000001,50000,-107.35212158639786
58.00000000000001,70000,-107.85962102145682
59.00000000000001,10000,-102.05180040654494
59.00000000000001,30000,-109.7224278515359
59.00000000000001,50000,-107.60822906081317
59.00000000000001,70000,-108.0806984746779
59.99999999999999,10000,-102.07516775576377
59.99999999999999,30000,-109.82897943260579
59.99999999999999,50000,-107.86559721857606
59.99999999999999,70000,-108.29627773881191
61,10000,-102.09871697224953
61,30000,-109.93126975863076
61,50000,-108.12403552140813
61,70000,-108.50593119294948
62,10000,-102.12242031955127
62,30000,-110.0291018452733
62,50000,-108.38332732361201
62,70000,-108.7093029945002
63,10000,-102.14624980767198
63,30000,-110.12231484538871
63,50000,-108.64322610369071
63,70000,-108.90612058038967
64,10000,-102.17017722264364
64,30000,-110.2107849679748
64,50000,-108.90345200293552
64,70000,-109.09620216868299
65,10000,-102.19417415669116
65,30000,-110.29442577430727
65,50000,-109.16368877137018
65,70000,-109.27945986561724
66,10000,-102.21821203895706
66,30000,-110.37318784536052
66,50000,-109.42358123069872
66,70000,-109.45589830500383
67,10000,-102.24226216677478
67,30000,-110.44705783698791
67,50000,-109.68273337305598
67,70000,-109.62560906602121
68,10000,-102.26629573748683
68,30000,-110.51605696087607
68,50000,-109.94070722563666
68,70000,-109.78876140382874
69,10000,-102.29028388074869
69,30000,-110.58023894786346
69,50000,-110.19702261819965
69,70000,-109.94559004426586
70,10000,-102.31419769133696
70,30000,-110.6396875667076
70,50000,-110.45115799608863
70,70000,-110.09638093766684
71,10000,-102.33800826241003
71,30000,-110.69451378239874
71,50000,-110.70255241974918
71,70000,-110.24145591379016
72,10000,-102.36168671920231
72,30000,-110.74485264588246
72,50000,-110.9506088810941
72,70000,-110.38115714927349
73,10000,-102.38520425311465
73,30000,-110.79086000969353
73,50000,-111.19469904867256
73,70000,-110.51583225938516
74,10000,-102.40853215618819
74,30000,-110.83270916192654
74,50000,-111.43416951653991
74,70000,-110.64582067856826
75,10000,-102.43164185589656
75,30000,-110.87058746609944
75,50000,-111.66834958283863
75,70000,-110.77144182467501
76,10000,-102.45450495024369
76,30000,-110.9046930856145
76,50000,-111.89656051966236
76,70000,-110.89298536634693
77,10000,-102.47709324312353
77,30000,-110.93523186057996
77,50000,-112.11812621124379
77,70000,-111.0107037498421
78,10000,-102.49937877988573
78,30000,-110.96241439290536
78,50000,-112.33238494896182
78,70000,-111.12480700441766
79,10000,-102.521333883077
79,30000,-110.98645338239025
79,50000,-112.53870207005333
79,70000,-111.23545973018287
80,10000,-102.54293118830608
80,30000,-111.00756124402018
80,50000,-112.73648303190467
80,70000,-111.34278009437458
81,10000,-102.56414368018015
81,30000,-111.0259480244374
81,50000,-112.92518642956392
